comment,likes,cleaned,case_folded,tokenized,stopword_removed,stemmed,final_text,komentar_bersih,label
GA NYANGKA SUMOAH,1,GA NYANGKA SUMOAH,ga nyangka sumoah,"['ga', 'nyangka', 'sumoah']","['ga', 'nyangka', 'sumoah']","['ga', 'nyangka', 'sumoah']",ga nyangka sumoah,ga nyangka sumoah,Positif
oh yes podcast ini semakin berdaging uhum 😘😝🤌🏻,7,oh yes podcast ini semakin berdaging uhum,oh yes podcast ini semakin berdaging uhum,"['oh', 'yes', 'podcast', 'ini', 'semakin', 'berdaging', 'uhum']","['oh', 'yes', 'podcast', 'berdaging', 'uhum']","['oh', 'yes', 'podcast', 'daging', 'uhum']",oh yes podcast daging uhum,oh yes podcast daging uhum,Positif
MAKASIH BGT TELAH HIDUP,187,MAKASIH banget TELAH HIDUP,makasih banget telah hidup,"['makasih', 'banget', 'telah', 'hidup']","['makasih', 'banget', 'hidup']","['makasih', 'banget', 'hidup']",makasih banget hidup,makasih banget hidup,Positif
"Gong bgt pas baju <a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a>",1,Gong banget pas baju,gong banget pas baju,"['gong', 'banget', 'pas', 'baju']","['gong', 'banget', 'pas', 'baju']","['gong', 'banget', 'pas', 'baju']",gong banget pas baju,gong banget pas baju,Positif
Jungsu xdiz kayaknya bisa join niky sama sandy gaksiiii,0,Jungsu xdiz kayaknya bisa join niky sama sandy gaksiiii,jungsu xdiz kayaknya bisa join niky sama sandy gaksiiii,"['jungsu', 'xdiz', 'kayaknya', 'bisa', 'join', 'niky', 'sama', 'sandy', 'gaksiiii']","['jungsu', 'xdiz', 'kayaknya', 'join', 'niky', 'sandy', 'gaksiiii']","['jungsu', 'xdiz', 'kayak', 'join', 'niky', 'sandy', 'gaksiiii']",jungsu xdiz kayak join niky sandy gaksiiii,jungsu xdiz kayak join niky sandy gaksiiii,Netral
ngakakkk,0,ngakakkk,ngakakkk,['ngakakkk'],['ngakakkk'],['ngakakkk'],ngakakkk,ngakakkk,Positif
YANG KITA TUNGGU TUNGGU 🔥🔥🔥🔥🔥,9,YANG KITA TUNGGU TUNGGU,yang kita tunggu tunggu,"['yang', 'kita', 'tunggu', 'tunggu']","['tunggu', 'tunggu']","['tunggu', 'tunggu']",tunggu tunggu,tunggu tunggu,Netral
"APA INI DURASI NYA CUMA 32 MENIT?,NGEREMEHIN BANGET KUOTA GUA😞😞😞",0,APA INI DURASI NYA CUMA 32 MENITNGEREMEHIN BANGET KUOTA GUA,apa ini durasi nya cuma 32 menitngeremehin banget kuota gua,"['apa', 'ini', 'durasi', 'nya', 'cuma', '32', 'menitngeremehin', 'banget', 'kuota', 'gua']","['durasi', 'nya', '32', 'menitngeremehin', 'banget', 'kuota', 'gua']","['durasi', 'nya', '32', 'menitngeremehin', 'banget', 'kuota', 'gua']",durasi nya 32 menitngeremehin banget kuota gua,durasi nya 32 menitngeremehin banget kuota gua,Negatif
akhirnya bisa makan ❤,0,akhirnya bisa makan,akhirnya bisa makan,"['akhirnya', 'bisa', 'makan']",['makan'],['makan'],makan,makan,Positif
Berdagingg bgt eps kali iniii love,2,Berdagingg banget eps kali iniii love,berdagingg banget eps kali iniii love,"['berdagingg', 'banget', 'eps', 'kali', 'iniii', 'love']","['berdagingg', 'banget', 'eps', 'kali', 'iniii', 'love']","['berdagingg', 'banget', 'eps', 'kali', 'iniii', 'love']",berdagingg banget eps kali iniii love,berdagingg banget eps kali iniii love,Positif
heh masa segini doang durasi nya?!?!?!??!,0,heh masa segini doang durasi nya,heh masa segini doang durasi nya,"['heh', 'masa', 'segini', 'doang', 'durasi', 'nya']","['heh', 'segini', 'doang', 'durasi', 'nya']","['heh', 'gin', 'doang', 'durasi', 'nya']",heh gin doang durasi nya,heh gin doang durasi nya,Negatif
podcast sangat berdaging,0,podcast sangat berdaging,podcast sangat berdaging,"['podcast', 'sangat', 'berdaging']","['podcast', 'berdaging']","['podcast', 'daging']",podcast daging,podcast daging,Positif
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=289"">4:49</a> kocak banget abjir😭😭😭😭",74,kocak banget abjir,kocak banget abjir,"['kocak', 'banget', 'abjir']","['kocak', 'banget', 'abjir']","['kocak', 'banget', 'abjir']",kocak banget abjir,kocak banget abjir,Positif
terlalu sefrekuensii tolongggg,0,terlalu sefrekuensii tolongggg,terlalu sefrekuensii tolongggg,"['terlalu', 'sefrekuensii', 'tolongggg']","['sefrekuensii', 'tolongggg']","['frekuensi', 'tolongggg']",frekuensi tolongggg,frekuensi tolongggg,Positif
seruuu bangettt,0,seruuu bangettt,seruuu bangettt,"['seruuu', 'bangettt']","['seruuu', 'bangettt']","['seruuu', 'bangettt']",seruuu bangettt,seruuu bangettt,Positif
"setelah 47 menit upload, terpantau subs io dari 93k jadi 93,4k",5,setelah 47 menit upload terpantau subs io dari 93k jadi 934k,setelah 47 menit upload terpantau subs io dari 93k jadi 934k,"['setelah', '47', 'menit', 'upload', 'terpantau', 'subs', 'io', 'dari', '93k', 'jadi', '934k']","['47', 'menit', 'upload', 'terpantau', 'subs', 'io', '93k', '934k']","['47', 'menit', 'upload', 'pantau', 'subs', 'io', '93k', '934k']",47 menit upload pantau subs io 93k 934k,47 menit upload pantau subs io 93k 934k,Netral
bisa ga sih ini durasinya 10 tahun,0,bisa ga sih ini durasinya 10 tahun,bisa ga sih ini durasinya 10 tahun,"['bisa', 'ga', 'sih', 'ini', 'durasinya', '10', 'tahun']","['ga', 'sih', 'durasinya', '10']","['ga', 'sih', 'durasi', '10']",ga sih durasi 10,ga sih durasi 10,Negatif
"Ini lucu bgt plis, durasinya kurang panjang😭",0,Ini lucu banget plis durasinya kurang panjang,ini lucu banget plis durasinya kurang panjang,"['ini', 'lucu', 'banget', 'plis', 'durasinya', 'kurang', 'panjang']","['lucu', 'banget', 'plis', 'durasinya']","['lucu', 'banget', 'plis', 'durasi']",lucu banget plis durasi,lucu banget plis durasi,Positif
&quot;asekk&quot;,1,asekk,asekk,['asekk'],['asekk'],['asekk'],asekk,asekk,Positif
plng dari sini te iq gasih? takut turun,0,plng dari sini te iq gasih takut turun,plng dari sini te iq gasih takut turun,"['plng', 'dari', 'sini', 'te', 'iq', 'gasih', 'takut', 'turun']","['plng', 'te', 'iq', 'gasih', 'takut', 'turun']","['plng', 'te', 'iq', 'gasih', 'takut', 'turun']",plng te iq gasih takut turun,plng te iq gasih takut turun,Negatif
"gong banget pas sandy nunjukin bajunya anjirr gak espekk😂😂. eps kali ini full ngakak, dan full kenyang. saran aja up nya 3 kali sehari plss, biar anak Indonesia terpenuhi gizinya 😢😢",661,gong banget pas sandy nunjukin bajunya anjirr gak espekk eps kali ini full ngakak dan full kenyang saran aja up nya 3 kali sehari plss biar anak Indonesia terpenuhi gizinya,gong banget pas sandy nunjukin bajunya anjirr gak espekk eps kali ini full ngakak dan full kenyang saran aja up nya 3 kali sehari plss biar anak indonesia terpenuhi gizinya,"['gong', 'banget', 'pas', 'sandy', 'nunjukin', 'bajunya', 'anjirr', 'gak', 'espekk', 'eps', 'kali', 'ini', 'full', 'ngakak', 'dan', 'full', 'kenyang', 'saran', 'aja', 'up', 'nya', '3', 'kali', 'sehari', 'plss', 'biar', 'anak', 'indonesia', 'terpenuhi', 'gizinya']","['gong', 'banget', 'pas', 'sandy', 'nunjukin', 'bajunya', 'anjirr', 'gak', 'espekk', 'eps', 'kali', 'full', 'ngakak', 'full', 'kenyang', 'saran', 'aja', 'up', 'nya', '3', 'kali', 'sehari', 'plss', 'biar', 'anak', 'indonesia', 'terpenuhi', 'gizinya']","['gong', 'banget', 'pas', 'sandy', 'nunjukin', 'baju', 'anjirr', 'gak', 'espekk', 'eps', 'kali', 'full', 'ngakak', 'full', 'kenyang', 'saran', 'aja', 'up', 'nya', '3', 'kali', 'hari', 'plss', 'biar', 'anak', 'indonesia', 'penuh', 'gizi']",gong banget pas sandy nunjukin baju anjirr gak espekk eps kali full ngakak full kenyang saran aja up nya 3 kali hari plss biar anak indonesia penuh gizi,gong banget pas sandy nunjukin baju anjirr gak espekk eps kali full ngakak full kenyang saran aja up nya 3 kali hari plss biar anak indonesia penuh gizi,Positif
sandy menemukan habitatnya,43,sandy menemukan habitatnya,sandy menemukan habitatnya,"['sandy', 'menemukan', 'habitatnya']","['sandy', 'menemukan', 'habitatnya']","['sandy', 'temu', 'habitat']",sandy temu habitat,sandy temu habitat,Netral
nungguin keluarga artis karena emng kita orang waras,0,nungguin keluarga artis karena emng kita orang waras,nungguin keluarga artis karena emng kita orang waras,"['nungguin', 'keluarga', 'artis', 'karena', 'emng', 'kita', 'orang', 'waras']","['nungguin', 'keluarga', 'artis', 'emng', 'orang', 'waras']","['nungguin', 'keluarga', 'artis', 'emng', 'orang', 'waras']",nungguin keluarga artis emng orang waras,nungguin keluarga artis emng orang waras,Positif
SALAM ORANG WARASSSSSSSSSSS,0,SALAM ORANG WARASSSSSSSSSSS,salam orang warasssssssssss,"['salam', 'orang', 'warasssssssssss']","['salam', 'orang', 'warasssssssssss']","['salam', 'orang', 'warasssssssssss']",salam orang warasssssssssss,salam orang warasssssssssss,Positif
PODCAST TERDAGING 2025 🔥🔥🔥,2,PODCAST TERDAGING,podcast terdaging,"['podcast', 'terdaging']","['podcast', 'terdaging']","['podcast', 'daging']",podcast daging,podcast daging,Positif
Adek kasian difitnah mulu sm iooo wakakkaka 😭😭,0,Adek kasian difitnah mulu sama iooo wakakkaka,adek kasian difitnah mulu sama iooo wakakkaka,"['adek', 'kasian', 'difitnah', 'mulu', 'sama', 'iooo', 'wakakkaka']","['adek', 'kasian', 'difitnah', 'mulu', 'iooo', 'wakakkaka']","['adek', 'kasi', 'fitnah', 'mulu', 'iooo', 'wakakkaka']",adek kasi fitnah mulu iooo wakakkaka,adek kasi fitnah mulu iooo wakakkaka,Negatif
akhirnya aku makan,0,akhirnya aku makan,akhirnya aku makan,"['akhirnya', 'aku', 'makan']",['makan'],['makan'],makan,makan,Positif
podcast penambah iq 😍,0,podcast penambah iq,podcast penambah iq,"['podcast', 'penambah', 'iq']","['podcast', 'penambah', 'iq']","['podcast', 'tambah', 'iq']",podcast tambah iq,podcast tambah iq,Positif
beneran podcast orang waras karena bisa datengin orang real waras di dunia indonesia itu,63,beneran podcast orang waras karena bisa datengin orang real waras di dunia indonesia itu,beneran podcast orang waras karena bisa datengin orang real waras di dunia indonesia itu,"['beneran', 'podcast', 'orang', 'waras', 'karena', 'bisa', 'datengin', 'orang', 'real', 'waras', 'di', 'dunia', 'indonesia', 'itu']","['beneran', 'podcast', 'orang', 'waras', 'datengin', 'orang', 'real', 'waras', 'dunia', 'indonesia']","['beneran', 'podcast', 'orang', 'waras', 'datengin', 'orang', 'real', 'waras', 'dunia', 'indonesia']",beneran podcast orang waras datengin orang real waras dunia indonesia,beneran podcast orang waras datengin orang real waras dunia indonesia,Positif
Akhirnya aku bisa makan..,0,Akhirnya aku bisa makan,akhirnya aku bisa makan,"['akhirnya', 'aku', 'bisa', 'makan']",['makan'],['makan'],makan,makan,Positif
KURANG PANJANGGGGV EPSNYA,14,KURANG PANJANGGGGV EPSNYA,kurang panjanggggv epsnya,"['kurang', 'panjanggggv', 'epsnya']","['panjanggggv', 'epsnya']","['panjanggggv', 'epsnya']",panjanggggv epsnya,panjanggggv epsnya,Negatif
Ngabrut sendi ngapalin barcode 😭😭😭😭😭😭,0,Ngabrut sendi ngapalin barcode,ngabrut sendi ngapalin barcode,"['ngabrut', 'sendi', 'ngapalin', 'barcode']","['ngabrut', 'sendi', 'ngapalin', 'barcode']","['ngabrut', 'sendi', 'ngapalin', 'barcode']",ngabrut sendi ngapalin barcode,ngabrut sendi ngapalin barcode,Positif
NGAKAK BANGET GUSTIII😭😭😭😭😭,1,NGAKAK BANGET GUSTIII,ngakak banget gustiii,"['ngakak', 'banget', 'gustiii']","['ngakak', 'banget', 'gustiii']","['ngakak', 'banget', 'gustiii']",ngakak banget gustiii,ngakak banget gustiii,Positif
Tontonanku ternyata orang orang jenius semua yaaa,19,Tontonanku ternyata orang orang jenius semua yaaa,tontonanku ternyata orang orang jenius semua yaaa,"['tontonanku', 'ternyata', 'orang', 'orang', 'jenius', 'semua', 'yaaa']","['tontonanku', 'orang', 'orang', 'jenius', 'yaaa']","['tonton', 'orang', 'orang', 'jenius', 'yaaa']",tonton orang orang jenius yaaa,tonton orang orang jenius yaaa,Positif
KOCAK BGT JIR,0,KOCAK banget JIR,kocak banget jir,"['kocak', 'banget', 'jir']","['kocak', 'banget', 'jir']","['kocak', 'banget', 'jir']",kocak banget jir,kocak banget jir,Positif
"3 orang jenius N nya Niki, I nya MarIo, dan S nya adalah Sandy",1240,3 orang jenius N nya Niki I nya MarIo dan S nya adalah Sandy,3 orang jenius n nya niki i nya mario dan s nya adalah sandy,"['3', 'orang', 'jenius', 'n', 'nya', 'niki', 'i', 'nya', 'mario', 'dan', 's', 'nya', 'adalah', 'sandy']","['3', 'orang', 'jenius', 'n', 'nya', 'niki', 'i', 'nya', 'mario', 's', 'nya', 'sandy']","['3', 'orang', 'jenius', 'n', 'nya', 'nik', 'i', 'nya', 'mario', 's', 'nya', 'sandy']",3 orang jenius n nya nik i nya mario s nya sandy,3 orang jenius n nya nik i nya mario s nya sandy,Positif
Nikky yang mana ya di sini,0,Nikky yang mana ya di sini,nikky yang mana ya di sini,"['nikky', 'yang', 'mana', 'ya', 'di', 'sini']","['nikky', 'ya']","['nikky', 'ya']",nikky ya,nikky ya,Netral
sandy terlihat seperti maknae 🥰,157,sandy terlihat seperti maknae,sandy terlihat seperti maknae,"['sandy', 'terlihat', 'seperti', 'maknae']","['sandy', 'maknae']","['sandy', 'maknae']",sandy maknae,sandy maknae,Netral
waww lagunyaa ngga ekspek sebagus ituu boleh nih masuk spotify🥰,3,waww lagunyaa ngga ekspek sebagus ituu boleh nih masuk spotify,waww lagunyaa ngga ekspek sebagus ituu boleh nih masuk spotify,"['waww', 'lagunyaa', 'ngga', 'ekspek', 'sebagus', 'ituu', 'boleh', 'nih', 'masuk', 'spotify']","['waww', 'lagunyaa', 'ngga', 'ekspek', 'sebagus', 'ituu', 'nih', 'masuk', 'spotify']","['waww', 'lagunyaa', 'ngga', 'ekspek', 'bagus', 'ituu', 'nih', 'masuk', 'spotify']",waww lagunyaa ngga ekspek bagus ituu nih masuk spotify,waww lagunyaa ngga ekspek bagus ituu nih masuk spotify,Positif
waktunya menyuapkan nasi ke dalam mulut😋🤭,0,waktunya menyuapkan nasi ke dalam mulut,waktunya menyuapkan nasi ke dalam mulut,"['waktunya', 'menyuapkan', 'nasi', 'ke', 'dalam', 'mulut']","['menyuapkan', 'nasi', 'mulut']","['suap', 'nasi', 'mulut']",suap nasi mulut,suap nasi mulut,Positif
asik bngtt...ajak aku plis....,0,asik bngttajak aku plis,asik bngttajak aku plis,"['asik', 'bngttajak', 'aku', 'plis']","['asik', 'bngttajak', 'plis']","['asik', 'bngttajak', 'plis']",asik bngttajak plis,asik bngttajak plis,Positif
PECAH BANGET GIMMICKNYA SI SANDY,0,PECAH BANGET GIMMICKNYA SI SANDY,pecah banget gimmicknya si sandy,"['pecah', 'banget', 'gimmicknya', 'si', 'sandy']","['pecah', 'banget', 'gimmicknya', 'si', 'sandy']","['pecah', 'banget', 'gimmicknya', 'si', 'sandy']",pecah banget gimmicknya si sandy,pecah banget gimmicknya si sandy,Positif
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1945"">32:25</a> GONG BANGET",102,GONG BANGET,gong banget,"['gong', 'banget']","['gong', 'banget']","['gong', 'banget']",gong banget,gong banget,Positif
Ini hostnya yang mana sihh,0,Ini hostnya yang mana sihh,ini hostnya yang mana sihh,"['ini', 'hostnya', 'yang', 'mana', 'sihh']","['hostnya', 'sihh']","['hostnya', 'sihh']",hostnya sihh,hostnya sihh,Positif
PENDEK BANGET IH DURASI NYA AKU GEBUKIN YA,1,PENDEK BANGET IH DURASI NYA AKU GEBUKIN YA,pendek banget ih durasi nya aku gebukin ya,"['pendek', 'banget', 'ih', 'durasi', 'nya', 'aku', 'gebukin', 'ya']","['pendek', 'banget', 'ih', 'durasi', 'nya', 'gebukin', 'ya']","['pendek', 'banget', 'ih', 'durasi', 'nya', 'gebukin', 'ya']",pendek banget ih durasi nya gebukin ya,pendek banget ih durasi nya gebukin ya,Negatif
akhirnyaa bisa makann,0,akhirnyaa bisa makann,akhirnyaa bisa makann,"['akhirnyaa', 'bisa', 'makann']","['akhirnyaa', 'makann']","['akhirnyaa', 'makann']",akhirnyaa makann,akhirnyaa makann,Positif
i love yuhhh,0,i love yuhhh,i love yuhhh,"['i', 'love', 'yuhhh']","['i', 'love', 'yuhhh']","['i', 'love', 'yuhhh']",i love yuhhh,i love yuhhh,Positif
OH WOW WOW WOW,0,OH WOW WOW WOW,oh wow wow wow,"['oh', 'wow', 'wow', 'wow']","['oh', 'wow', 'wow', 'wow']","['oh', 'wow', 'wow', 'wow']",oh wow wow wow,oh wow wow wow,Positif
SEBENTAR BANGETTT PLISSS DURASINYAAA,0,SEBENTAR BANGETTT PLISSS DURASINYAAA,sebentar bangettt plisss durasinyaaa,"['sebentar', 'bangettt', 'plisss', 'durasinyaaa']","['sebentar', 'bangettt', 'plisss', 'durasinyaaa']","['sebentar', 'bangettt', 'plisss', 'durasinyaaa']",sebentar bangettt plisss durasinyaaa,sebentar bangettt plisss durasinyaaa,Negatif
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1900"">31:40</a> lagu persahabatan ❤❤",70,lagu persahabatan,lagu persahabatan,"['lagu', 'persahabatan']","['lagu', 'persahabatan']","['lagu', 'sahabat']",lagu sahabat,lagu sahabat,Positif
best podcast abad ini 😭🫶🏻,103,best podcast abad ini,best podcast abad ini,"['best', 'podcast', 'abad', 'ini']","['best', 'podcast', 'abad']","['best', 'podcast', 'abad']",best podcast abad,best podcast abad,Positif
PECAHHH BGT PLZ AJAKINN SENDYY LAGIII,17,PECAHHH banget PLZ AJAKINN SENDYY LAGIII,pecahhh banget plz ajakinn sendyy lagiii,"['pecahhh', 'banget', 'plz', 'ajakinn', 'sendyy', 'lagiii']","['pecahhh', 'banget', 'plz', 'ajakinn', 'sendyy', 'lagiii']","['pecahhh', 'banget', 'plz', 'ajakinn', 'sendyy', 'lagiii']",pecahhh banget plz ajakinn sendyy lagiii,pecahhh banget plz ajakinn sendyy lagiii,Positif
YANG AKU TUNGGU TUNGGU ❤❤😂😂,0,YANG AKU TUNGGU TUNGGU,yang aku tunggu tunggu,"['yang', 'aku', 'tunggu', 'tunggu']","['tunggu', 'tunggu']","['tunggu', 'tunggu']",tunggu tunggu,tunggu tunggu,Netral
akhirnya orang waras ngga gizi buruk,0,akhirnya orang waras ngga gizi buruk,akhirnya orang waras ngga gizi buruk,"['akhirnya', 'orang', 'waras', 'ngga', 'gizi', 'buruk']","['orang', 'waras', 'ngga', 'gizi', 'buruk']","['orang', 'waras', 'ngga', 'gizi', 'buruk']",orang waras ngga gizi buruk,orang waras ngga gizi buruk,Positif
cepet banget?!?!? SERUUU,0,cepet banget SERUUU,cepet banget seruuu,"['cepet', 'banget', 'seruuu']","['cepet', 'banget', 'seruuu']","['cepet', 'banget', 'seruuu']",cepet banget seruuu,cepet banget seruuu,Positif
ADIK KASIAN IHHH 😭😭,0,ADIK KASIAN IHHH,adik kasian ihhh,"['adik', 'kasian', 'ihhh']","['adik', 'kasian', 'ihhh']","['adik', 'kasi', 'ihhh']",adik kasi ihhh,adik kasi ihhh,Negatif
SERU BANGET YAAMPUN😭😭🩷,0,SERU BANGET YAAMPUN,seru banget yaampun,"['seru', 'banget', 'yaampun']","['seru', 'banget', 'yaampun']","['seru', 'banget', 'yaampun']",seru banget yaampun,seru banget yaampun,Positif
akhirnya bisaa makannn,0,akhirnya bisaa makannn,akhirnya bisaa makannn,"['akhirnya', 'bisaa', 'makannn']","['bisaa', 'makannn']","['bisaa', 'makannn']",bisaa makannn,bisaa makannn,Positif
MINIMAL DURASI 2 HARI NGGK SIH?!! KALIAN JGN MEREMEHKAN KUOTA KITA DONG 😠☝,0,MINIMAL DURASI 2 HARI NGGK SIH KALIAN jangan MEREMEHKAN KUOTA KITA DONG,minimal durasi 2 hari nggk sih kalian jangan meremehkan kuota kita dong,"['minimal', 'durasi', '2', 'hari', 'nggk', 'sih', 'kalian', 'jangan', 'meremehkan', 'kuota', 'kita', 'dong']","['minimal', 'durasi', '2', 'nggk', 'sih', 'meremehkan', 'kuota']","['minimal', 'durasi', '2', 'nggk', 'sih', 'remeh', 'kuota']",minimal durasi 2 nggk sih remeh kuota,minimal durasi 2 nggk sih remeh kuota,Negatif
absen yang selalu nunda makan malam kalau adik dan io belum naikin podcast keluarga artis👆🏻👆🏻👆🏻,0,absen yang selalu nunda makan malam kalau adik dan io belum naikin podcast keluarga artis,absen yang selalu nunda makan malam kalau adik dan io belum naikin podcast keluarga artis,"['absen', 'yang', 'selalu', 'nunda', 'makan', 'malam', 'kalau', 'adik', 'dan', 'io', 'belum', 'naikin', 'podcast', 'keluarga', 'artis']","['absen', 'nunda', 'makan', 'malam', 'adik', 'io', 'naikin', 'podcast', 'keluarga', 'artis']","['absen', 'nunda', 'makan', 'malam', 'adik', 'io', 'naikin', 'podcast', 'keluarga', 'artis']",absen nunda makan malam adik io naikin podcast keluarga artis,absen nunda makan malam adik io naikin podcast keluarga artis,Netral
"saking dagingnya durasi kurang panjang, minimal 2 jam yh",0,saking dagingnya durasi kurang panjang minimal 2 jam yh,saking dagingnya durasi kurang panjang minimal 2 jam yh,"['saking', 'dagingnya', 'durasi', 'kurang', 'panjang', 'minimal', '2', 'jam', 'yh']","['saking', 'dagingnya', 'durasi', 'minimal', '2', 'jam', 'yh']","['saking', 'daging', 'durasi', 'minimal', '2', 'jam', 'yh']",saking daging durasi minimal 2 jam yh,saking daging durasi minimal 2 jam yh,Netral
undang marco plis wkwkwk,0,undang marco plis wkwkwk,undang marco plis wkwkwk,"['undang', 'marco', 'plis', 'wkwkwk']","['undang', 'marco', 'plis', 'wkwkwk']","['undang', 'marco', 'plis', 'wkwkwk']",undang marco plis wkwkwk,undang marco plis wkwkwk,Netral
durasinya kurang pls,0,durasinya kurang pls,durasinya kurang pls,"['durasinya', 'kurang', 'pls']","['durasinya', 'pls']","['durasi', 'pls']",durasi pls,durasi pls,Negatif
ini jadinya podcast penurun iq apa menambah? 😭😭😭,0,ini jadinya podcast penurun iq apa menambah,ini jadinya podcast penurun iq apa menambah,"['ini', 'jadinya', 'podcast', 'penurun', 'iq', 'apa', 'menambah']","['podcast', 'penurun', 'iq', 'menambah']","['podcast', 'turun', 'iq', 'tambah']",podcast turun iq tambah,podcast turun iq tambah,Netral
yahhh mau nya 2 jamm😢,0,yahhh mau nya 2 jamm,yahhh mau nya 2 jamm,"['yahhh', 'mau', 'nya', '2', 'jamm']","['yahhh', 'nya', '2', 'jamm']","['yahhh', 'nya', '2', 'jamm']",yahhh nya 2 jamm,yahhh nya 2 jamm,Negatif
minimal durasi sampe 550269 jam,0,minimal durasi sampe jam,minimal durasi sampe jam,"['minimal', 'durasi', 'sampe', 'jam']","['minimal', 'durasi', 'sampe', 'jam']","['minimal', 'durasi', 'sampe', 'jam']",minimal durasi sampe jam,minimal durasi sampe jam,Negatif
Ga kerasaaa😭😭😭,0,Ga kerasaaa,ga kerasaaa,"['ga', 'kerasaaa']","['ga', 'kerasaaa']","['ga', 'kerasaaa']",ga kerasaaa,ga kerasaaa,Negatif
YAHHHH ABIS,0,YAHHHH ABIS,yahhhh abis,"['yahhhh', 'abis']","['yahhhh', 'abis']","['yahhhh', 'abis']",yahhhh abis,yahhhh abis,Negatif
yah abis,0,yah abis,yah abis,"['yah', 'abis']","['yah', 'abis']","['yah', 'abis']",yah abis,yah abis,Negatif
selamat sandy! km sudah menjadi orang waras🤭,0,selamat sandy km sudah menjadi orang waras,selamat sandy km sudah menjadi orang waras,"['selamat', 'sandy', 'km', 'sudah', 'menjadi', 'orang', 'waras']","['selamat', 'sandy', 'km', 'orang', 'waras']","['selamat', 'sandy', 'km', 'orang', 'waras']",selamat sandy km orang waras,selamat sandy km orang waras,Positif
"S nya Sandy, KACAU BANGETTTT😭😭😭😭😭😭😭😭",0,S nya Sandy KACAU BANGETTTT,s nya sandy kacau bangetttt,"['s', 'nya', 'sandy', 'kacau', 'bangetttt']","['s', 'nya', 'sandy', 'kacau', 'bangetttt']","['s', 'nya', 'sandy', 'kacau', 'bangetttt']",s nya sandy kacau bangetttt,s nya sandy kacau bangetttt,Negatif
Next undang vino celana gajah yhhhh,0,Next undang vino celana gajah yhhhh,next undang vino celana gajah yhhhh,"['next', 'undang', 'vino', 'celana', 'gajah', 'yhhhh']","['next', 'undang', 'vino', 'celana', 'gajah', 'yhhhh']","['next', 'undang', 'vino', 'celana', 'gajah', 'yhhhh']",next undang vino celana gajah yhhhh,next undang vino celana gajah yhhhh,Netral
mihu mihu jaya,0,mihu mihu jaya,mihu mihu jaya,"['mihu', 'mihu', 'jaya']","['mihu', 'mihu', 'jaya']","['mihu', 'mihu', 'jaya']",mihu mihu jaya,mihu mihu jaya,Positif
Aku ikutan mikir jawabannya 😫,0,Aku ikutan mikir jawabannya,aku ikutan mikir jawabannya,"['aku', 'ikutan', 'mikir', 'jawabannya']","['ikutan', 'mikir', 'jawabannya']","['ikut', 'mikir', 'jawab']",ikut mikir jawab,ikut mikir jawab,Netral
ril kembaaarr 1 mei wkwkwkwk,0,ril kembaaarr 1 mei wkwkwkwk,ril kembaaarr 1 mei wkwkwkwk,"['ril', 'kembaaarr', '1', 'mei', 'wkwkwkwk']","['ril', 'kembaaarr', '1', 'mei', 'wkwkwkwk']","['ril', 'kembaaarr', '1', 'mei', 'wkwkwkwk']",ril kembaaarr 1 mei wkwkwkwk,ril kembaaarr 1 mei wkwkwkwk,Netral
KO BISA SAMA SAMA 1 MEI ??????????????,0,KO BISA SAMA SAMA 1 MEI,ko bisa sama sama 1 mei,"['ko', 'bisa', 'sama', 'sama', '1', 'mei']","['ko', '1', 'mei']","['ko', '1', 'mei']",ko 1 mei,ko 1 mei,Netral
undang marco &amp; marlo dong 😋,0,undang marco marlo dong,undang marco marlo dong,"['undang', 'marco', 'marlo', 'dong']","['undang', 'marco', 'marlo']","['undang', 'marco', 'marlo']",undang marco marlo,undang marco marlo,Netral
Universitas Negeri Singapur😭😭,0,Universitas Negeri Singapur,universitas negeri singapur,"['universitas', 'negeri', 'singapur']","['universitas', 'negeri', 'singapur']","['universitas', 'negeri', 'singapur']",universitas negeri singapur,universitas negeri singapur,Netral
ga expect sampe tanggal lahirnya juga sama😭😭,0,ga expect sampe tanggal lahirnya juga sama,ga expect sampe tanggal lahirnya juga sama,"['ga', 'expect', 'sampe', 'tanggal', 'lahirnya', 'juga', 'sama']","['ga', 'expect', 'sampe', 'tanggal', 'lahirnya']","['ga', 'expect', 'sampe', 'tanggal', 'lahir']",ga expect sampe tanggal lahir,ga expect sampe tanggal lahir,Netral
temuin sandy ma teh yaya gak,0,temuin sandy ma teh yaya gak,temuin sandy ma teh yaya gak,"['temuin', 'sandy', 'ma', 'teh', 'yaya', 'gak']","['temuin', 'sandy', 'ma', 'teh', 'yaya', 'gak']","['temuin', 'sandy', 'ma', 'teh', 'yaya', 'gak']",temuin sandy ma teh yaya gak,temuin sandy ma teh yaya gak,Netral
niky found his lost twin,0,niky found his lost twin,niky found his lost twin,"['niky', 'found', 'his', 'lost', 'twin']","['niky', 'found', 'his', 'lost', 'twin']","['niky', 'found', 'his', 'lost', 'twin']",niky found his lost twin,niky found his lost twin,Netral
